,f,mi
223,history_nauseatnormal,0.3860110148906951
224,history_noisetnormal,0.3860110148906951
225,history_recruitmenttnormal,0.0
226,history_ringingtnormal,0.0
227,history_roaringtnormal,0.0
228,history_vomitingtnormal,0.0
229,late_wave_poortnormal,0.0
230,m_at_2ktnormal,0.0
231,m_cond_lt_1ktnormal,0.0
232,m_gt_1ktnormal,0.0
233,m_m_gt_2ktnormal,0.0
234,m_m_sntnormal,0.0
235,m_m_sn_gt_1ktnormal,0.0
236,m_m_sn_gt_2ktnormal,0.0
237,m_m_sn_gt_500tnormal,0.0
238,m_p_sn_gt_2ktnormal,0.0
239,m_s_gt_500tnormal,0.0
240,m_s_sntnormal,0.0
241,m_s_sn_gt_1ktnormal,0.0
242,m_s_sn_gt_2ktnormal,0.0
243,m_s_sn_gt_3ktnormal,0.0
244,m_s_sn_gt_4ktnormal,0.0
245,m_sn_2_3ktnormal,0.0
246,m_sn_gt_1ktnormal,0.0
247,m_sn_gt_2ktnormal,0.08891632957301034
248,m_sn_gt_3ktnormal,0.0
249,m_sn_gt_4ktnormal,0.17626709171736227
250,m_sn_gt_500tnormal,0.0
251,m_sn_gt_6ktnormal,0.0
252,m_sn_lt_1ktnormal,0.0
253,m_sn_lt_2ktnormal,0.0
254,m_sn_lt_3ktnormal,0.0
255,middle_wave_poortnormal,0.0
256,mod_gt_4ktnormal,0.0
257,mod_mixedtnormal,0.0
258,mod_s_mixedtnormal,0.0
259,mod_s_sn_gt_500tnormal,0.0
260,mod_sntnormal,0.0
261,mod_sn_gt_1ktnormal,0.0
262,mod_sn_gt_2ktnormal,0.0
263,mod_sn_gt_3ktnormal,0.22139922741674253
264,mod_sn_gt_4ktnormal,0.0
265,mod_sn_gt_500tnormal,0.0
266,notch_4ktnormal,0.0
267,notch_at_4ktnormal,0.0
268,o_ar_ctnormal,0.6201350095366085
269,o_ar_utnormal,0.6201350095366085
270,s_sn_gt_1ktnormal,0.0
271,s_sn_gt_2ktnormal,0.3860110148906951
272,s_sn_gt_4ktnormal,0.0
273,speechtnormal,0.0
274,static_normaltnormal,0.0
275,tymptnormal,0.6973291219156772
276,viith_nerve_signstnormal,0.0
277,wave_V_delayedtnormal,0.0
278,waveform_ItoV_prolongedtnormal,0.0
279,indentifiertnormal,0.7423827686091724
280,age_gt_60tgood,1.751308980839195e-15
281,airtgood,0.3939847332067497
282,airBoneGaptgood,0.6703410773292791
283,ar_ctgood,0.254758967031955
284,ar_utgood,0.4318988544807516
285,bonetgood,0.14357533364026584
286,boneAbnormaltgood,0.14407995512060348
287,bsertgood,1.751308980839195e-15
288,history_buzzingtgood,1.751308980839195e-15
289,history_dizzinesstgood,0.039041473478821746
290,history_fluctuatingtgood,1.751308980839195e-15
291,history_fullnesstgood,1.751308980839195e-15
292,history_hereditytgood,1.751308980839195e-15
293,history_nauseatgood,1.751308980839195e-15
294,history_noisetgood,0.3625351288403617
295,history_recruitmenttgood,1.751308980839195e-15
296,history_ringingtgood,1.751308980839195e-15
297,history_roaringtgood,1.751308980839195e-15
298,history_vomitingtgood,1.751308980839195e-15
299,late_wave_poortgood,1.751308980839195e-15
300,m_at_2ktgood,1.751308980839195e-15
301,m_cond_lt_1ktgood,1.751308980839195e-15
302,m_gt_1ktgood,1.751308980839195e-15
303,m_m_gt_2ktgood,0.02278240364540829
304,m_m_sntgood,0.21036605515589707
305,m_m_sn_gt_1ktgood,1.751308980839195e-15
306,m_m_sn_gt_2ktgood,1.751308980839195e-15
307,m_m_sn_gt_500tgood,1.751308980839195e-15
308,m_p_sn_gt_2ktgood,1.751308980839195e-15
309,m_s_gt_500tgood,1.751308980839195e-15
310,m_s_sntgood,1.751308980839195e-15
311,m_s_sn_gt_1ktgood,1.751308980839195e-15
312,m_s_sn_gt_2ktgood,1.751308980839195e-15
313,m_s_sn_gt_3ktgood,1.751308980839195e-15
314,m_s_sn_gt_4ktgood,1.751308980839195e-15
315,m_sn_2_3ktgood,1.751308980839195e-15
316,m_sn_gt_1ktgood,0.6703410773292791
317,m_sn_gt_2ktgood,0.02278240364540829
318,m_sn_gt_3ktgood,1.751308980839195e-15
319,m_sn_gt_4ktgood,0.053789570443638066
320,m_sn_gt_500tgood,1.751308980839195e-15
321,m_sn_gt_6ktgood,1.751308980839195e-15
322,m_sn_lt_1ktgood,1.751308980839195e-15
323,m_sn_lt_2ktgood,1.751308980839195e-15
324,m_sn_lt_3ktgood,1.751308980839195e-15
325,middle_wave_poortgood,1.751308980839195e-15
326,mod_gt_4ktgood,1.751308980839195e-15
327,mod_mixedtgood,1.751308980839195e-15
328,mod_s_mixedtgood,1.751308980839195e-15
329,mod_s_sn_gt_500tgood,1.751308980839195e-15
330,mod_sntgood,1.751308980839195e-15
331,mod_sn_gt_1ktgood,1.751308980839195e-15
332,mod_sn_gt_2ktgood,0.02278240364540829
333,mod_sn_gt_3ktgood,1.751308980839195e-15
334,mod_sn_gt_4ktgood,1.751308980839195e-15
335,mod_sn_gt_500tgood,1.751308980839195e-15
336,notch_4ktgood,0.6703410773292791
337,notch_at_4ktgood,1.751308980839195e-15
338,o_ar_ctgood,0.8988213636619858
339,o_ar_utgood,0.18794787877063893
340,s_sn_gt_1ktgood,1.751308980839195e-15
341,s_sn_gt_2ktgood,1.751308980839195e-15
