,f,mi
380,m_s_sntvery_good,7.524480021210092e-16
381,m_s_sn_gt_1ktvery_good,7.524480021210092e-16
382,m_s_sn_gt_2ktvery_good,0.40345659516875476
383,m_s_sn_gt_3ktvery_good,0.038314670966744575
384,m_s_sn_gt_4ktvery_good,7.524480021210092e-16
385,m_sn_2_3ktvery_good,7.524480021210092e-16
386,m_sn_gt_1ktvery_good,0.07601136983093187
387,m_sn_gt_2ktvery_good,0.07080941469810395
388,m_sn_gt_3ktvery_good,7.524480021210092e-16
389,m_sn_gt_4ktvery_good,7.524480021210092e-16
390,m_sn_gt_500tvery_good,7.524480021210092e-16
391,m_sn_gt_6ktvery_good,7.524480021210092e-16
392,m_sn_lt_1ktvery_good,7.524480021210092e-16
393,m_sn_lt_2ktvery_good,7.524480021210092e-16
394,m_sn_lt_3ktvery_good,7.524480021210092e-16
395,middle_wave_poortvery_good,7.524480021210092e-16
396,mod_gt_4ktvery_good,7.524480021210092e-16
397,mod_mixedtvery_good,7.524480021210092e-16
398,mod_s_mixedtvery_good,7.524480021210092e-16
399,mod_s_sn_gt_500tvery_good,7.524480021210092e-16
400,mod_sntvery_good,7.524480021210092e-16
401,mod_sn_gt_1ktvery_good,7.524480021210092e-16
402,mod_sn_gt_2ktvery_good,7.524480021210092e-16
403,mod_sn_gt_3ktvery_good,7.524480021210092e-16
404,mod_sn_gt_4ktvery_good,7.524480021210092e-16
405,mod_sn_gt_500tvery_good,7.524480021210092e-16
406,notch_4ktvery_good,0.2237876136053431
407,notch_at_4ktvery_good,7.524480021210092e-16
408,o_ar_ctvery_good,0.7154136036802263
409,o_ar_utvery_good,0.373258685658646
410,s_sn_gt_1ktvery_good,7.524480021210092e-16
411,s_sn_gt_2ktvery_good,7.524480021210092e-16
412,s_sn_gt_4ktvery_good,7.524480021210092e-16
413,speechtvery_good,7.524480021210092e-16
414,static_normaltvery_good,0.038314670966744575
415,tymptvery_good,0.40345659516875476
416,viith_nerve_signstvery_good,7.524480021210092e-16
417,wave_V_delayedtvery_good,7.524480021210092e-16
418,waveform_ItoV_prolongedtvery_good,7.524480021210092e-16
419,indentifiertvery_good,0.4761534574648028
